Id,Date,SleepRecords,MinutesAsleep,MinutesInBed,MinsAwake,HoursAsleep,HoursInBed,HoursAwake
1503960366,4/12/2016,1,327,346,19,5.45,5.77,0.32
1503960366,4/13/2016,2,384,407,23,6.40,6.78,0.38
1503960366,4/15/2016,1,412,442,30,6.87,7.37,0.50
1503960366,4/16/2016,2,340,367,27,5.67,6.12,0.45
1503960366,4/17/2016,1,700,712,12,11.67,11.87,0.20
1503960366,4/19/2016,1,304,320,16,5.07,5.33,0.27
1503960366,4/20/2016,1,360,377,17,6.00,6.28,0.28
1503960366,4/21/2016,1,325,364,39,5.42,6.07,0.65
1503960366,4/23/2016,1,361,384,23,6.02,6.40,0.38
1503960366,4/24/2016,1,430,449,19,7.17,7.48,0.32
1503960366,4/25/2016,1,277,323,46,4.62,5.38,0.77
1503960366,4/26/2016,1,245,274,29,4.08,4.57,0.48
1503960366,4/28/2016,1,366,393,27,6.10,6.55,0.45
1503960366,4/29/2016,1,341,354,13,5.68,5.90,0.22
1503960366,4/30/2016,1,404,425,21,6.73,7.08,0.35
1503960366,5/1/2016,1,369,396,27,6.15,6.60,0.45
1503960366,5/2/2016,1,277,309,32,4.62,5.15,0.53
1503960366,5/3/2016,1,273,296,23,4.55,4.93,0.38
1503960366,5/5/2016,1,247,264,17,4.12,4.40,0.28
1503960366,5/6/2016,1,334,367,33,5.57,6.12,0.55
1503960366,5/7/2016,1,331,349,18,5.52,5.82,0.30
1503960366,5/8/2016,1,594,611,17,9.90,10.18,0.28
1503960366,5/9/2016,1,338,342,4,5.63,5.70,0.07
1503960366,5/10/2016,1,383,403,20,6.38,6.72,0.33
1503960366,5/11/2016,1,285,306,21,4.75,5.10,0.35
1644430081,4/29/2016,1,119,127,8,1.98,2.12,0.13
1644430081,4/30/2016,1,124,142,18,2.07,2.37,0.30
1644430081,5/2/2016,1,796,961,165,13.27,16.02,2.75
1644430081,5/8/2016,1,137,154,17,2.28,2.57,0.28
1844505072,4/15/2016,1,644,961,317,10.73,16.02,5.28
1844505072,4/30/2016,1,722,961,239,12.03,16.02,3.98
1844505072,5/1/2016,1,590,961,371,9.83,16.02,6.18
1927972279,4/12/2016,3,750,775,25,12.50,12.92,0.42
1927972279,4/13/2016,1,398,422,24,6.63,7.03,0.40
1927972279,4/15/2016,2,475,499,24,7.92,8.32,0.40
1927972279,4/26/2016,1,296,315,19,4.93,5.25,0.32
1927972279,4/28/2016,1,166,178,12,2.77,2.97,0.20
2026352035,4/12/2016,1,503,546,43,8.38,9.10,0.72
2026352035,4/13/2016,1,531,565,34,8.85,9.42,0.57
2026352035,4/14/2016,1,545,568,23,9.08,9.47,0.38
2026352035,4/15/2016,1,523,573,50,8.72,9.55,0.83
2026352035,4/16/2016,1,524,567,43,8.73,9.45,0.72
2026352035,4/17/2016,1,437,498,61,7.28,8.30,1.02
2026352035,4/19/2016,1,498,540,42,8.30,9.00,0.70
2026352035,4/20/2016,1,461,510,49,7.68,8.50,0.82
2026352035,4/21/2016,1,477,514,37,7.95,8.57,0.62
2026352035,4/22/2016,1,520,545,25,8.67,9.08,0.42
2026352035,4/23/2016,1,522,554,32,8.70,9.23,0.53
2026352035,4/24/2016,1,555,591,36,9.25,9.85,0.60
2026352035,4/25/2016,1,506,531,25,8.43,8.85,0.42
2026352035,4/27/2016,1,508,545,37,8.47,9.08,0.62
2026352035,4/28/2016,1,513,545,32,8.55,9.08,0.53
2026352035,4/29/2016,1,490,510,20,8.17,8.50,0.33
2026352035,4/30/2016,1,573,607,34,9.55,10.12,0.57
2026352035,5/1/2016,1,527,546,19,8.78,9.10,0.32
2026352035,5/2/2016,1,511,543,32,8.52,9.05,0.53
2026352035,5/4/2016,1,538,560,22,8.97,9.33,0.37
2026352035,5/5/2016,1,468,485,17,7.80,8.08,0.28
2026352035,5/6/2016,1,524,548,24,8.73,9.13,0.40
2026352035,5/7/2016,1,511,521,10,8.52,8.68,0.17
2026352035,5/8/2016,1,541,568,27,9.02,9.47,0.45
2026352035,5/9/2016,1,531,556,25,8.85,9.27,0.42
2026352035,5/10/2016,1,357,380,23,5.95,6.33,0.38
2026352035,5/11/2016,1,523,553,30,8.72,9.22,0.50
2026352035,5/12/2016,1,456,485,29,7.60,8.08,0.48
2320127002,4/23/2016,1,61,69,8,1.02,1.15,0.13
2347167796,4/13/2016,1,467,531,64,7.78,8.85,1.07
2347167796,4/14/2016,1,445,489,44,7.42,8.15,0.73
2347167796,4/15/2016,1,452,504,52,7.53,8.40,0.87
2347167796,4/17/2016,1,556,602,46,9.27,10.03,0.77
2347167796,4/18/2016,1,500,557,57,8.33,9.28,0.95
2347167796,4/19/2016,1,465,514,49,7.75,8.57,0.82
2347167796,4/21/2016,1,460,484,24,7.67,8.07,0.40
2347167796,4/22/2016,1,405,461,56,6.75,7.68,0.93
2347167796,4/23/2016,1,374,386,12,6.23,6.43,0.20
2347167796,4/24/2016,1,442,459,17,7.37,7.65,0.28
2347167796,4/25/2016,1,433,471,38,7.22,7.85,0.63
2347167796,4/26/2016,1,436,490,54,7.27,8.17,0.90
2347167796,4/27/2016,1,448,499,51,7.47,8.32,0.85
2347167796,4/28/2016,1,408,450,42,6.80,7.50,0.70
2347167796,4/29/2016,1,411,473,62,6.85,7.88,1.03
3977333714,4/12/2016,1,274,469,195,4.57,7.82,3.25
3977333714,4/13/2016,2,295,456,161,4.92,7.60,2.68
3977333714,4/14/2016,1,291,397,106,4.85,6.62,1.77
3977333714,4/15/2016,1,424,556,132,7.07,9.27,2.20
3977333714,4/16/2016,1,283,510,227,4.72,8.50,3.78
3977333714,4/17/2016,1,381,566,185,6.35,9.43,3.08
3977333714,4/18/2016,2,412,522,110,6.87,8.70,1.83
3977333714,4/19/2016,1,219,395,176,3.65,6.58,2.93
3977333714,4/20/2016,2,152,305,153,2.53,5.08,2.55
3977333714,4/21/2016,1,332,512,180,5.53,8.53,3.00
3977333714,4/22/2016,1,355,476,121,5.92,7.93,2.02
3977333714,4/23/2016,1,235,372,137,3.92,6.20,2.28
3977333714,4/24/2016,1,310,526,216,5.17,8.77,3.60
3977333714,4/25/2016,1,262,467,205,4.37,7.78,3.42
3977333714,4/26/2016,1,250,371,121,4.17,6.18,2.02
3977333714,4/27/2016,1,349,540,191,5.82,9.00,3.18
3977333714,4/28/2016,1,261,423,162,4.35,7.05,2.70
3977333714,4/29/2016,1,333,478,145,5.55,7.97,2.42
3977333714,4/30/2016,1,237,382,145,3.95,6.37,2.42
3977333714,5/1/2016,1,383,626,243,6.38,10.43,4.05
3977333714,5/2/2016,1,230,384,154,3.83,6.40,2.57
3977333714,5/3/2016,1,292,500,208,4.87,8.33,3.47
3977333714,5/4/2016,1,213,336,123,3.55,5.60,2.05
3977333714,5/5/2016,1,318,480,162,5.30,8.00,2.70
3977333714,5/6/2016,1,323,512,189,5.38,8.53,3.15
3977333714,5/7/2016,1,237,443,206,3.95,7.38,3.43
3977333714,5/8/2016,2,259,456,197,4.32,7.60,3.28
3977333714,5/10/2016,1,312,452,140,5.20,7.53,2.33
4020332650,4/12/2016,1,501,541,40,8.35,9.02,0.67
4020332650,4/16/2016,1,77,77,0,1.28,1.28,0.00
4020332650,5/3/2016,1,322,332,10,5.37,5.53,0.17
4020332650,5/4/2016,1,478,536,58,7.97,8.93,0.97
4020332650,5/5/2016,1,226,248,22,3.77,4.13,0.37
4020332650,5/6/2016,1,385,408,23,6.42,6.80,0.38
4020332650,5/8/2016,1,364,402,38,6.07,6.70,0.63
4020332650,5/10/2016,1,442,494,52,7.37,8.23,0.87
4319703577,4/14/2016,1,535,557,22,8.92,9.28,0.37
4319703577,4/15/2016,1,465,491,26,7.75,8.18,0.43
4319703577,4/16/2016,1,506,522,16,8.43,8.70,0.27
4319703577,4/18/2016,1,515,551,36,8.58,9.18,0.60
4319703577,4/19/2016,2,461,498,37,7.68,8.30,0.62
4319703577,4/20/2016,1,523,543,20,8.72,9.05,0.33
4319703577,4/21/2016,1,59,65,6,0.98,1.08,0.10
4319703577,4/22/2016,1,533,550,17,8.88,9.17,0.28
4319703577,4/23/2016,1,692,722,30,11.53,12.03,0.50
4319703577,4/24/2016,1,467,501,34,7.78,8.35,0.57
4319703577,4/25/2016,1,488,506,18,8.13,8.43,0.30
4319703577,4/26/2016,1,505,516,11,8.42,8.60,0.18
4319703577,4/27/2016,1,286,307,21,4.77,5.12,0.35
4319703577,4/28/2016,1,497,522,25,8.28,8.70,0.42
4319703577,4/29/2016,1,523,546,23,8.72,9.10,0.38
4319703577,4/30/2016,1,490,516,26,8.17,8.60,0.43
4319703577,5/1/2016,1,484,500,16,8.07,8.33,0.27
4319703577,5/2/2016,1,478,506,28,7.97,8.43,0.47
4319703577,5/3/2016,1,474,512,38,7.90,8.53,0.63
4319703577,5/6/2016,1,450,491,41,7.50,8.18,0.68
4319703577,5/7/2016,1,507,530,23,8.45,8.83,0.38
4319703577,5/8/2016,1,602,638,36,10.03,10.63,0.60
4319703577,5/9/2016,1,535,565,30,8.92,9.42,0.50
4319703577,5/10/2016,1,487,517,30,8.12,8.62,0.50
4319703577,5/11/2016,1,529,558,29,8.82,9.30,0.48
4319703577,5/12/2016,1,302,321,19,5.03,5.35,0.32
4388161847,4/15/2016,1,499,526,27,8.32,8.77,0.45
4388161847,4/16/2016,2,426,448,22,7.10,7.47,0.37
4388161847,4/17/2016,2,619,641,22,10.32,10.68,0.37
4388161847,4/18/2016,1,99,104,5,1.65,1.73,0.08
4388161847,4/19/2016,1,329,338,9,5.48,5.63,0.15
4388161847,4/20/2016,1,421,451,30,7.02,7.52,0.50
4388161847,4/21/2016,1,442,458,16,7.37,7.63,0.27
4388161847,4/22/2016,1,82,85,3,1.37,1.42,0.05
4388161847,4/23/2016,1,478,501,23,7.97,8.35,0.38
4388161847,4/24/2016,3,552,595,43,9.20,9.92,0.72
4388161847,4/26/2016,1,319,346,27,5.32,5.77,0.45
4388161847,4/27/2016,1,439,500,61,7.32,8.33,1.02
4388161847,4/28/2016,1,428,458,30,7.13,7.63,0.50
4388161847,4/30/2016,2,409,430,21,6.82,7.17,0.35
4388161847,5/1/2016,1,547,597,50,9.12,9.95,0.83
4388161847,5/2/2016,2,368,376,8,6.13,6.27,0.13
4388161847,5/4/2016,1,390,414,24,6.50,6.90,0.40
4388161847,5/5/2016,1,471,495,24,7.85,8.25,0.40
4388161847,5/5/2016,1,471,495,24,7.85,8.25,0.40
4388161847,5/7/2016,1,472,496,24,7.87,8.27,0.40
4388161847,5/8/2016,2,529,541,12,8.82,9.02,0.20
4388161847,5/9/2016,1,62,65,3,1.03,1.08,0.05
4388161847,5/10/2016,1,354,375,21,5.90,6.25,0.35
4388161847,5/11/2016,1,469,494,25,7.82,8.23,0.42
4445114986,4/12/2016,2,429,457,28,7.15,7.62,0.47
4445114986,4/13/2016,2,370,406,36,6.17,6.77,0.60
4445114986,4/14/2016,1,441,492,51,7.35,8.20,0.85
4445114986,4/15/2016,2,337,379,42,5.62,6.32,0.70
4445114986,4/16/2016,1,462,499,37,7.70,8.32,0.62
4445114986,4/17/2016,1,98,107,9,1.63,1.78,0.15
4445114986,4/19/2016,2,388,424,36,6.47,7.07,0.60
4445114986,4/20/2016,1,439,462,23,7.32,7.70,0.38
4445114986,4/21/2016,1,436,469,33,7.27,7.82,0.55
4445114986,4/22/2016,1,388,417,29,6.47,6.95,0.48
4445114986,4/25/2016,1,328,345,17,5.47,5.75,0.28
4445114986,4/26/2016,2,353,391,38,5.88,6.52,0.63
4445114986,4/27/2016,1,332,374,42,5.53,6.23,0.70
4445114986,4/28/2016,1,419,442,23,6.98,7.37,0.38
4445114986,4/29/2016,1,106,108,2,1.77,1.80,0.03
4445114986,4/30/2016,1,322,353,31,5.37,5.88,0.52
4445114986,5/1/2016,2,439,459,20,7.32,7.65,0.33
4445114986,5/2/2016,1,502,542,40,8.37,9.03,0.67
4445114986,5/3/2016,2,417,450,33,6.95,7.50,0.55
4445114986,5/4/2016,2,337,363,26,5.62,6.05,0.43
4445114986,5/5/2016,2,462,513,51,7.70,8.55,0.85
4445114986,5/6/2016,2,374,402,28,6.23,6.70,0.47
4445114986,5/7/2016,2,401,436,35,6.68,7.27,0.58
4445114986,5/8/2016,1,361,391,30,6.02,6.52,0.50
4445114986,5/9/2016,1,457,533,76,7.62,8.88,1.27
4445114986,5/10/2016,1,405,426,21,6.75,7.10,0.35
4445114986,5/11/2016,1,499,530,31,8.32,8.83,0.52
4445114986,5/12/2016,1,483,501,18,8.05,8.35,0.30
4558609924,4/21/2016,1,126,137,11,2.10,2.28,0.18
4558609924,4/26/2016,1,103,121,18,1.72,2.02,0.30
4558609924,4/29/2016,1,171,179,8,2.85,2.98,0.13
4558609924,5/1/2016,1,115,129,14,1.92,2.15,0.23
4558609924,5/8/2016,1,123,134,11,2.05,2.23,0.18
4702921684,4/12/2016,1,425,439,14,7.08,7.32,0.23
4702921684,4/13/2016,2,400,430,30,6.67,7.17,0.50
4702921684,4/14/2016,1,384,415,31,6.40,6.92,0.52
4702921684,4/15/2016,1,253,257,4,4.22,4.28,0.07
4702921684,4/16/2016,2,382,406,24,6.37,6.77,0.40
4702921684,4/17/2016,1,591,612,21,9.85,10.20,0.35
4702921684,4/18/2016,1,293,312,19,4.88,5.20,0.32
4702921684,4/19/2016,1,457,487,30,7.62,8.12,0.50
4702921684,4/20/2016,1,454,468,14,7.57,7.80,0.23
4702921684,4/21/2016,1,425,434,9,7.08,7.23,0.15
4702921684,4/23/2016,1,465,475,10,7.75,7.92,0.17
4702921684,4/24/2016,1,480,506,26,8.00,8.43,0.43
4702921684,4/25/2016,1,370,380,10,6.17,6.33,0.17
4702921684,4/26/2016,1,421,429,8,7.02,7.15,0.13
4702921684,4/27/2016,1,432,449,17,7.20,7.48,0.28
4702921684,4/28/2016,1,442,461,19,7.37,7.68,0.32
4702921684,4/29/2016,1,433,447,14,7.22,7.45,0.23
4702921684,4/30/2016,1,479,501,22,7.98,8.35,0.37
4702921684,5/3/2016,1,327,373,46,5.45,6.22,0.77
4702921684,5/4/2016,1,412,434,22,6.87,7.23,0.37
4702921684,5/5/2016,1,414,428,14,6.90,7.13,0.23
4702921684,5/6/2016,1,404,449,45,6.73,7.48,0.75
4702921684,5/7/2016,1,520,543,23,8.67,9.05,0.38
4702921684,5/7/2016,1,520,543,23,8.67,9.05,0.38
4702921684,5/9/2016,1,435,458,23,7.25,7.63,0.38
4702921684,5/10/2016,1,416,431,15,6.93,7.18,0.25
4702921684,5/11/2016,1,354,366,12,5.90,6.10,0.20
4702921684,5/12/2016,1,404,442,38,6.73,7.37,0.63
5553957443,4/12/2016,1,441,464,23,7.35,7.73,0.38
5553957443,4/13/2016,2,455,488,33,7.58,8.13,0.55
5553957443,4/14/2016,1,357,418,61,5.95,6.97,1.02
5553957443,4/15/2016,1,377,409,32,6.28,6.82,0.53
5553957443,4/16/2016,2,651,686,35,10.85,11.43,0.58
5553957443,4/17/2016,1,350,402,52,5.83,6.70,0.87
5553957443,4/18/2016,2,520,541,21,8.67,9.02,0.35
5553957443,4/19/2016,1,357,410,53,5.95,6.83,0.88
5553957443,4/20/2016,1,658,678,20,10.97,11.30,0.33
5553957443,4/21/2016,1,399,431,32,6.65,7.18,0.53
5553957443,4/22/2016,1,322,353,31,5.37,5.88,0.52
5553957443,4/23/2016,2,631,725,94,10.52,12.08,1.57
5553957443,4/24/2016,2,553,640,87,9.22,10.67,1.45
5553957443,4/25/2016,1,433,468,35,7.22,7.80,0.58
5553957443,4/26/2016,1,412,453,41,6.87,7.55,0.68
5553957443,4/27/2016,1,347,391,44,5.78,6.52,0.73
5553957443,4/28/2016,1,421,457,36,7.02,7.62,0.60
5553957443,4/29/2016,1,450,495,45,7.50,8.25,0.75
5553957443,4/30/2016,2,775,843,68,12.92,14.05,1.13
5553957443,5/1/2016,2,622,686,64,10.37,11.43,1.07
5553957443,5/2/2016,1,409,471,62,6.82,7.85,1.03
5553957443,5/3/2016,1,380,429,49,6.33,7.15,0.82
5553957443,5/4/2016,1,447,470,23,7.45,7.83,0.38
5553957443,5/5/2016,1,419,464,45,6.98,7.73,0.75
5553957443,5/6/2016,1,400,434,34,6.67,7.23,0.57
5553957443,5/7/2016,1,442,470,28,7.37,7.83,0.47
5553957443,5/8/2016,1,568,608,40,9.47,10.13,0.67
5553957443,5/9/2016,1,453,494,41,7.55,8.23,0.68
5553957443,5/10/2016,1,418,443,25,6.97,7.38,0.42
5553957443,5/11/2016,1,463,486,23,7.72,8.10,0.38
5553957443,5/12/2016,1,438,475,37,7.30,7.92,0.62
5577150313,4/12/2016,1,419,438,19,6.98,7.30,0.32
5577150313,4/13/2016,1,432,458,26,7.20,7.63,0.43
5577150313,4/14/2016,1,477,497,20,7.95,8.28,0.33
5577150313,4/15/2016,1,392,413,21,6.53,6.88,0.35
5577150313,4/16/2016,1,406,445,39,6.77,7.42,0.65
5577150313,4/17/2016,1,549,583,34,9.15,9.72,0.57
5577150313,4/18/2016,1,527,553,26,8.78,9.22,0.43
5577150313,4/19/2016,1,449,465,16,7.48,7.75,0.27
5577150313,4/20/2016,1,447,480,33,7.45,8.00,0.55
5577150313,4/21/2016,1,414,437,23,6.90,7.28,0.38
5577150313,4/22/2016,1,338,366,28,5.63,6.10,0.47
5577150313,4/23/2016,1,384,402,18,6.40,6.70,0.30
5577150313,4/24/2016,1,543,615,72,9.05,10.25,1.20
5577150313,4/25/2016,1,421,461,40,7.02,7.68,0.67
5577150313,4/26/2016,1,354,377,23,5.90,6.28,0.38
5577150313,4/27/2016,1,424,452,28,7.07,7.53,0.47
5577150313,4/28/2016,1,361,372,11,6.02,6.20,0.18
5577150313,4/29/2016,1,459,485,26,7.65,8.08,0.43
5577150313,4/30/2016,1,412,433,21,6.87,7.22,0.35
5577150313,5/1/2016,1,379,398,19,6.32,6.63,0.32
5577150313,5/2/2016,2,525,553,28,8.75,9.22,0.47
5577150313,5/3/2016,1,508,543,35,8.47,9.05,0.58
5577150313,5/4/2016,1,603,634,31,10.05,10.57,0.52
5577150313,5/5/2016,1,74,78,4,1.23,1.30,0.07
5577150313,5/10/2016,1,504,562,58,8.40,9.37,0.97
5577150313,5/11/2016,1,431,476,45,7.18,7.93,0.75
6117666160,4/16/2016,1,380,398,18,6.33,6.63,0.30
6117666160,4/17/2016,2,336,350,14,5.60,5.83,0.23
6117666160,4/18/2016,2,493,510,17,8.22,8.50,0.28
6117666160,4/19/2016,1,465,492,27,7.75,8.20,0.45
6117666160,4/20/2016,1,474,502,28,7.90,8.37,0.47
6117666160,4/21/2016,1,508,550,42,8.47,9.17,0.70
6117666160,4/22/2016,1,480,546,66,8.00,9.10,1.10
6117666160,4/23/2016,1,492,539,47,8.20,8.98,0.78
6117666160,4/24/2016,1,353,367,14,5.88,6.12,0.23
6117666160,4/27/2016,1,542,557,15,9.03,9.28,0.25
6117666160,4/28/2016,1,393,416,23,6.55,6.93,0.38
6117666160,4/29/2016,1,600,636,36,10.00,10.60,0.60
6117666160,5/1/2016,1,507,575,68,8.45,9.58,1.13
6117666160,5/5/2016,1,392,415,23,6.53,6.92,0.38
6117666160,5/6/2016,2,658,698,40,10.97,11.63,0.67
6117666160,5/7/2016,2,498,507,9,8.30,8.45,0.15
6117666160,5/8/2016,1,555,603,48,9.25,10.05,0.80
6117666160,5/9/2016,1,492,522,30,8.20,8.70,0.50
6775888955,4/13/2016,1,235,260,25,3.92,4.33,0.42
6775888955,4/14/2016,1,423,441,18,7.05,7.35,0.30
6775888955,4/15/2016,1,391,406,15,6.52,6.77,0.25
6962181067,4/12/2016,1,366,387,21,6.10,6.45,0.35
6962181067,4/13/2016,3,630,679,49,10.50,11.32,0.82
6962181067,4/14/2016,2,508,535,27,8.47,8.92,0.45
6962181067,4/15/2016,1,370,386,16,6.17,6.43,0.27
6962181067,4/16/2016,1,357,366,9,5.95,6.10,0.15
6962181067,4/17/2016,1,427,446,19,7.12,7.43,0.32
6962181067,4/18/2016,1,442,458,16,7.37,7.63,0.27
6962181067,4/19/2016,1,476,535,59,7.93,8.92,0.98
6962181067,4/20/2016,1,418,424,6,6.97,7.07,0.10
6962181067,4/21/2016,1,451,457,6,7.52,7.62,0.10
6962181067,4/22/2016,1,425,435,10,7.08,7.25,0.17
6962181067,4/23/2016,1,528,546,18,8.80,9.10,0.30
6962181067,4/24/2016,1,511,514,3,8.52,8.57,0.05
6962181067,4/25/2016,1,400,415,15,6.67,6.92,0.25
6962181067,4/26/2016,1,441,446,5,7.35,7.43,0.08
6962181067,4/27/2016,1,455,467,12,7.58,7.78,0.20
6962181067,4/28/2016,1,440,453,13,7.33,7.55,0.22
6962181067,4/29/2016,1,433,447,14,7.22,7.45,0.23
6962181067,4/30/2016,1,422,424,2,7.03,7.07,0.03
6962181067,5/1/2016,1,411,426,15,6.85,7.10,0.25
6962181067,5/2/2016,1,466,482,16,7.77,8.03,0.27
6962181067,5/3/2016,1,394,418,24,6.57,6.97,0.40
6962181067,5/4/2016,1,442,455,13,7.37,7.58,0.22
6962181067,5/5/2016,1,467,491,24,7.78,8.18,0.40
6962181067,5/6/2016,1,443,462,19,7.38,7.70,0.32
6962181067,5/7/2016,1,298,334,36,4.97,5.57,0.60
6962181067,5/8/2016,1,541,569,28,9.02,9.48,0.47
6962181067,5/9/2016,1,489,497,8,8.15,8.28,0.13
6962181067,5/10/2016,1,469,481,12,7.82,8.02,0.20
6962181067,5/11/2016,1,452,480,28,7.53,8.00,0.47
6962181067,5/12/2016,1,516,535,19,8.60,8.92,0.32
7007744171,4/16/2016,1,79,82,3,1.32,1.37,0.05
7007744171,5/1/2016,1,58,61,3,0.97,1.02,0.05
7086361926,4/12/2016,1,514,525,11,8.57,8.75,0.18
7086361926,4/13/2016,1,451,465,14,7.52,7.75,0.23
7086361926,4/14/2016,1,472,476,4,7.87,7.93,0.07
7086361926,4/15/2016,1,377,386,9,6.28,6.43,0.15
7086361926,4/19/2016,1,472,483,11,7.87,8.05,0.18
7086361926,4/20/2016,1,492,502,10,8.20,8.37,0.17
7086361926,4/21/2016,1,390,411,21,6.50,6.85,0.35
7086361926,4/22/2016,1,428,448,20,7.13,7.47,0.33
7086361926,4/24/2016,1,681,704,23,11.35,11.73,0.38
7086361926,4/25/2016,1,446,447,1,7.43,7.45,0.02
7086361926,4/26/2016,1,485,500,15,8.08,8.33,0.25
7086361926,4/27/2016,1,469,479,10,7.82,7.98,0.17
7086361926,4/28/2016,1,354,367,13,5.90,6.12,0.22
7086361926,4/30/2016,1,485,489,4,8.08,8.15,0.07
7086361926,5/1/2016,1,388,407,19,6.47,6.78,0.32
7086361926,5/2/2016,1,440,459,19,7.33,7.65,0.32
7086361926,5/3/2016,1,456,461,5,7.60,7.68,0.08
7086361926,5/4/2016,1,420,436,16,7.00,7.27,0.27
7086361926,5/6/2016,1,322,333,11,5.37,5.55,0.18
7086361926,5/7/2016,1,530,548,18,8.83,9.13,0.30
7086361926,5/8/2016,1,481,510,29,8.02,8.50,0.48
7086361926,5/9/2016,1,427,438,11,7.12,7.30,0.18
7086361926,5/11/2016,1,451,463,12,7.52,7.72,0.20
7086361926,5/12/2016,1,444,457,13,7.40,7.62,0.22
8053475328,4/20/2016,1,486,493,7,8.10,8.22,0.12
8053475328,4/23/2016,1,331,337,6,5.52,5.62,0.10
8053475328,5/7/2016,1,74,75,1,1.23,1.25,0.02
8378563200,4/12/2016,1,338,356,18,5.63,5.93,0.30
8378563200,4/13/2016,2,447,487,40,7.45,8.12,0.67
8378563200,4/14/2016,1,424,455,31,7.07,7.58,0.52
8378563200,4/15/2016,1,513,533,20,8.55,8.88,0.33
8378563200,4/16/2016,2,611,689,78,10.18,11.48,1.30
8378563200,4/17/2016,2,525,591,66,8.75,9.85,1.10
8378563200,4/18/2016,1,398,451,53,6.63,7.52,0.88
8378563200,4/19/2016,1,387,421,34,6.45,7.02,0.57
8378563200,4/20/2016,1,381,409,28,6.35,6.82,0.47
8378563200,4/21/2016,1,396,417,21,6.60,6.95,0.35
8378563200,4/22/2016,1,441,469,28,7.35,7.82,0.47
8378563200,4/23/2016,1,565,591,26,9.42,9.85,0.43
8378563200,4/24/2016,1,458,492,34,7.63,8.20,0.57
8378563200,4/25/2016,1,388,402,14,6.47,6.70,0.23
8378563200,4/25/2016,1,388,402,14,6.47,6.70,0.23
8378563200,4/26/2016,1,550,584,34,9.17,9.73,0.57
8378563200,4/27/2016,1,531,600,69,8.85,10.00,1.15
8378563200,4/28/2016,1,506,556,50,8.43,9.27,0.83
8378563200,4/29/2016,1,527,562,35,8.78,9.37,0.58
8378563200,4/30/2016,1,468,555,87,7.80,9.25,1.45
8378563200,5/1/2016,1,475,539,64,7.92,8.98,1.07
8378563200,5/2/2016,1,351,385,34,5.85,6.42,0.57
8378563200,5/3/2016,1,405,429,24,6.75,7.15,0.40
8378563200,5/4/2016,1,441,477,36,7.35,7.95,0.60
8378563200,5/5/2016,1,381,417,36,6.35,6.95,0.60
8378563200,5/6/2016,1,323,355,32,5.38,5.92,0.53
8378563200,5/7/2016,2,459,513,54,7.65,8.55,0.90
8378563200,5/8/2016,1,545,606,61,9.08,10.10,1.02
8378563200,5/9/2016,1,359,399,40,5.98,6.65,0.67
8378563200,5/10/2016,1,342,391,49,5.70,6.52,0.82
8378563200,5/11/2016,1,368,387,19,6.13,6.45,0.32
8378563200,5/12/2016,1,496,546,50,8.27,9.10,0.83
8792009665,4/12/2016,1,458,493,35,7.63,8.22,0.58
8792009665,4/13/2016,1,531,552,21,8.85,9.20,0.35
8792009665,4/14/2016,1,486,503,17,8.10,8.38,0.28
8792009665,4/15/2016,1,363,377,14,6.05,6.28,0.23
8792009665,4/20/2016,1,528,547,19,8.80,9.12,0.32
8792009665,4/22/2016,1,391,407,16,6.52,6.78,0.27
8792009665,4/23/2016,1,339,360,21,5.65,6.00,0.35
8792009665,4/27/2016,1,423,428,5,7.05,7.13,0.08
8792009665,4/28/2016,1,402,416,14,6.70,6.93,0.23
8792009665,4/29/2016,1,398,406,8,6.63,6.77,0.13
8792009665,4/30/2016,1,343,360,17,5.72,6.00,0.28
8792009665,5/1/2016,1,503,527,24,8.38,8.78,0.40
8792009665,5/2/2016,1,415,423,8,6.92,7.05,0.13
8792009665,5/3/2016,1,516,545,29,8.60,9.08,0.48
8792009665,5/4/2016,1,439,463,24,7.32,7.72,0.40